Sample.ID,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,Slope,fmol.oncolumn.or.peak.area,value per cell ,bio.rep.value,LOD.fmol.column,LOQ.fmol.column,QC (LOD),QC (LOQ)
20230120_ER4_124_01_87,TRC,FAMP,Deplete,Particulate,-,A,Relative Peak Area,15415835,725865824.7,776369322.7,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_01_88,TRC,FAMP,Deplete,Particulate,-,A,Relative Peak Area,17630092,826872820.8,,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_02_90,TRC,FAMP,Deplete,Particulate,-,B,Relative Peak Area,14336235,669762396.6,626193911.6,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_02_91,TRC,FAMP,Deplete,Particulate,-,B,Relative Peak Area,12519750,582625426.6,,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_03_93,TRC,FAMP,Deplete,Particulate,-,C,Relative Peak Area,11991787,555894498.9,581873138.1,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_03_94,TRC,FAMP,Deplete,Particulate,-,C,Relative Peak Area,13163398,607851777.2,,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_04_96,TRC,FAMP,Deplete,Particulate,+,A,Relative Peak Area,8816490,405558090.8,420226090.4,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_04_97,TRC,FAMP,Deplete,Particulate,+,A,Relative Peak Area,9490565,434894090,,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_05_100,TRC,FAMP,Deplete,Particulate,+,B,Relative Peak Area,13133554,599534466.4,581043582.3,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_05_99,TRC,FAMP,Deplete,Particulate,+,B,Relative Peak Area,12370423,562552698.1,,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_06_104,TRC,FAMP,Deplete,Particulate,+,C,Relative Peak Area,7672807,347604968.9,341937339.5,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_06_105,TRC,FAMP,Deplete,Particulate,+,C,Relative Peak Area,7450695,336269710.1,,Relative Peak Area,Relative Peak Area,,
20230120_ER4_124_01_87,Osmolytes,Homarine,Deplete,Particulate,-,A,1839.399526,81.7348259,3371.114498,3461.68126,21.72206045,72.40686818, , 
20230120_ER4_124_01_88,Osmolytes,Homarine,Deplete,Particulate,-,A,1839.399526,86.42331249,3552.248022,,21.72206045,72.40686818, , 
20230120_ER4_124_02_90,Osmolytes,Homarine,Deplete,Particulate,-,B,1839.399526,63.02219739,2581.529236,2519.92336,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_02_91,Osmolytes,Homarine,Deplete,Particulate,-,B,1839.399526,60.21965236,2458.317485,,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_03_93,Osmolytes,Homarine,Deplete,Particulate,-,C,1839.399526,51.83213253,2108.725625,2157.71547,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_03_94,Osmolytes,Homarine,Deplete,Particulate,-,C,1839.399526,54.42482647,2206.705315,,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_04_96,Osmolytes,Homarine,Deplete,Particulate,+,A,1839.399526,36.16506315,1461.395581,1596.588822,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_04_97,Osmolytes,Homarine,Deplete,Particulate,+,A,1839.399526,43.00098967,1731.782063,,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_05_100,Osmolytes,Homarine,Deplete,Particulate,+,B,1839.399526,39.80103233,1597.534566,1555.152397,21.72206045,72.40686818, ,<LOQ
20230120_ER4_124_05_99,Osmolytes,Homarine,Deplete,Particulate,+,B,1839.399526,37.81560179,1512.770227,,21.72206045,72.40686818, ,<LOQ
